,年份,地块名,季节,作物名,种植面积
0,2024,A1,1,黄豆,42.42
1,2024,A1,1,小麦,37.58
2,2024,A2,1,玉米,41.25
3,2024,A2,1,红薯,13.75
4,2024,A3,1,小麦,32.39
5,2024,A3,1,红薯,2.61
6,2024,A4,1,玉米,72.0
7,2024,A5,1,黄豆,68.0
8,2024,A6,1,爬豆,23.8
9,2024,A6,1,玉米,19.5
10,2024,A6,1,南瓜,11.7
11,2024,B1,1,黑豆,46.0
12,2024,B1,1,小麦,14.0
13,2024,B2,1,小麦,46.0
14,2024,B3,1,小麦,40.0
15,2024,B4,1,绿豆,28.0
16,2024,B5,1,谷子,25.0
17,2024,B6,1,黄豆,13.02
18,2024,B6,1,谷子,72.98
19,2024,B7,1,黄豆,18.79
20,2024,B7,1,绿豆,36.21
21,2024,B8,1,小麦,2.8
22,2024,B8,1,谷子,41.2
23,2024,B9,1,黄豆,50.0
24,2024,B10,1,小麦,3.33
25,2024,B10,1,高粱,21.67
26,2024,B11,1,绿豆,35.91
27,2024,B11,1,高粱,24.09
28,2024,B12,1,小麦,45.0
29,2024,B13,1,黄豆,35.0
30,2024,B14,1,黄豆,20.0
31,2024,C1,1,红豆,15.0
32,2024,C2,1,红豆,5.22
33,2024,C2,1,黍子,7.78
34,2024,C3,1,红豆,15.0
35,2024,C4,1,黍子,18.0
36,2024,C5,1,红豆,27.0
37,2024,C6,1,高粱,4.46
38,2024,C6,1,黍子,0.54
39,2024,C6,1,荞麦,15.0
40,2024,D1,1,芸豆,1.44
41,2024,D2,1,豇豆,1.1
42,2024,D4,1,豇豆,6.0
43,2024,D7,1,刀豆,7.46
44,2024,D8,1,豇豆,1.46
45,2024,D8,1,刀豆,4.54
46,2024,D8,1,茄子,7.09
47,2024,D8,1,包菜,0.73
48,2024,D8,1,黄瓜,1.09
49,2024,D8,1,芹菜,0.33
50,2024,E1,1,豇豆,0.6
51,2024,E2,1,刀豆,0.6
52,2024,E3,2,白灵菇,0.6
53,2024,E4,2,白灵菇,0.6
54,2024,E5,2,羊肚菌,0.6
55,2024,E6,1,豇豆,0.6
56,2024,E7,2,羊肚菌,0.6
57,2024,E8,2,榆黄菇,0.6
58,2024,E9,2,白灵菇,0.6
59,2024,E10,1,豇豆,0.6
60,2024,E11,2,榆黄菇,0.6
61,2024,E12,1,豇豆,0.6
62,2024,E13,2,羊肚菌,0.6
63,2024,E14,2,榆黄菇,0.6
64,2024,E15,2,羊肚菌,0.6
65,2024,E16,1,刀豆,0.6
66,2024,F1,2,豇豆,0.4
67,2024,F1,2,黄瓜,0.2
68,2024,F2,2,豇豆,0.13
69,2024,F2,2,茄子,0.47
70,2024,F3,2,豇豆,0.37
71,2024,F3,2,黄瓜,0.23
72,2024,F4,2,豇豆,0.07
73,2024,F4,2,黄瓜,0.53
74,2025,A1,1,黄豆,13.79
75,2025,A1,1,爬豆,23.8
76,2025,A1,1,玉米,14.35
77,2025,A1,1,南瓜,11.7
78,2025,A1,1,红薯,16.36
79,2025,A2,1,黄豆,55.0
80,2025,A3,1,黄豆,35.0
81,2025,A4,1,黄豆,72.0
82,2025,A5,1,玉米,68.0
83,2025,A6,1,黄豆,31.2
84,2025,A6,1,玉米,23.8
85,2025,B1,1,黄豆,14.0
86,2025,B1,1,小麦,46.0
87,2025,B2,1,绿豆,46.0
88,2025,B3,1,黄豆,16.28
89,2025,B3,1,绿豆,23.72
90,2025,B4,1,玉米,28.0
91,2025,B5,1,黄豆,25.0
92,2025,B6,1,黑豆,46.0
93,2025,B6,1,红豆,15.58
94,2025,B6,1,绿豆,11.4
95,2025,B6,1,小麦,13.02
96,2025,B7,1,小麦,44.86
97,2025,B7,1,高粱,10.14
98,2025,B8,1,黄豆,44.0
99,2025,B9,1,小麦,50.0
100,2025,B10,1,黄豆,25.0
101,2025,B11,1,黄豆,24.09
102,2025,B11,1,小麦,35.91
103,2025,B12,1,黄豆,26.0
104,2025,B12,1,绿豆,19.0
105,2025,B13,1,小麦,35.0
106,2025,B14,1,高粱,20.0
107,2025,C1,1,高粱,5.91
108,2025,C1,1,荞麦,9.09
109,2025,C2,1,红豆,7.78
110,2025,C2,1,荞麦,5.22
111,2025,C3,1,高粱,15.0
112,2025,C4,1,红豆,18.0
113,2025,C5,1,黍子,26.32
114,2025,C5,1,荞麦,0.68
115,2025,C6,1,红豆,20.0
116,2025,D1,1,刀豆,13.56
117,2025,D2,1,刀豆,8.89
118,2025,D2,1,包菜,0.73
119,2025,D2,1,芹菜,0.33
120,2025,D3,1,刀豆,14.0
121,2025,D4,1,黄瓜,1.09
122,2025,D5,1,刀豆,10.0
123,2025,D6,1,刀豆,12.0
124,2025,D7,1,刀豆,14.54
125,2025,D7,1,茄子,7.09
126,2025,D8,1,豇豆,11.44
127,2025,D8,1,刀豆,1.12
128,2025,D8,1,芸豆,1.44
129,2025,E1,2,白灵菇,0.6
130,2025,E2,2,白灵菇,0.6
