index,年份,地块名,季节,作物名,种植面积
0,2024,A1,1,黄豆,0.0
1,2024,A1,1,小麦,51.94
2,2024,A1,1,南瓜,11.7
3,2024,A1,1,红薯,16.36
4,2024,A2,1,黄豆,1.88
5,2024,A2,1,玉米,53.12
6,2024,A3,1,黄豆,21.29
7,2024,A3,1,玉米,13.71
8,2024,A4,1,黄豆,4.62
9,2024,A4,1,小麦,17.82
10,2024,A4,1,玉米,49.55
11,2024,A5,1,黄豆,68.0
12,2024,A5,1,玉米,0.0
13,2024,A6,1,黄豆,14.84
14,2024,A6,1,爬豆,23.8
15,2024,A6,1,玉米,16.36
16,2024,B1,1,黄豆,58.95
17,2024,B1,1,小麦,1.05
18,2024,B2,1,小麦,46.0
19,2024,B2,1,谷子,0.0
20,2024,B3,1,绿豆,24.94
21,2024,B3,1,小麦,15.06
22,2024,B4,1,黄豆,28.0
23,2024,B5,1,小麦,25.0
24,2024,B5,1,谷子,0.0
25,2024,B6,1,黑豆,46.0
26,2024,B6,1,绿豆,11.03
27,2024,B6,1,谷子,28.97
28,2024,B7,1,黄豆,55.0
29,2024,B7,1,小麦,0.0
30,2024,B8,1,黄豆,36.32
31,2024,B8,1,高粱,7.68
32,2024,B9,1,黄豆,17.26
33,2024,B9,1,红豆,0.26
34,2024,B9,1,绿豆,18.22
35,2024,B9,1,小麦,14.26
36,2024,B9,1,高粱,0.0
37,2024,B10,1,绿豆,10.94
38,2024,B10,1,小麦,14.06
39,2024,B11,1,黄豆,15.03
40,2024,B11,1,小麦,7.15
41,2024,B11,1,高粱,37.82
42,2024,B12,1,黄豆,16.22
43,2024,B12,1,小麦,28.78
44,2024,B13,1,绿豆,35.0
45,2024,B14,1,黄豆,20.0
46,2024,C1,1,红豆,4.94
47,2024,C1,1,高粱,4.74
48,2024,C1,1,黍子,5.32
49,2024,C2,1,黍子,13.0
50,2024,C3,1,红豆,15.0
51,2024,C4,1,黍子,8.0
52,2024,C4,1,荞麦,10.0
53,2024,C5,1,红豆,27.0
54,2024,C6,1,红豆,15.0
55,2024,C6,1,黍子,0.0
56,2024,C6,1,荞麦,5.0
57,2024,D1,1,豇豆,3.66
58,2024,D1,1,芸豆,1.44
59,2024,D1,1,茄子,7.09
60,2024,D1,1,黄瓜,1.09
61,2024,D2,1,豇豆,5.62
62,2024,D2,1,包菜,0.73
63,2024,D2,1,芹菜,0.33
64,2024,D3,1,刀豆,1.47
65,2024,D4,1,刀豆,5.35
66,2024,D5,1,刀豆,0.33
67,2024,D7,1,刀豆,0.0
68,2024,D7,2,大白菜,0.0
69,2024,D8,1,刀豆,4.13
70,2024,E1,2,白灵菇,0.6
71,2024,E2,1,刀豆,0.07
72,2024,E2,2,白灵菇,0.53
73,2024,E3,2,羊肚菌,0.6
74,2024,E4,2,榆黄菇,0.6
75,2024,E5,2,羊肚菌,0.6
76,2024,E6,1,刀豆,0.07
77,2024,E6,2,榆黄菇,0.53
78,2024,E7,2,羊肚菌,0.6
79,2024,E8,1,刀豆,0.6
80,2024,E9,2,榆黄菇,0.38
81,2024,E9,2,白灵菇,0.23
82,2024,E10,1,刀豆,0.6
83,2024,E11,1,豇豆,0.6
84,2024,E12,1,刀豆,0.15
85,2024,E12,2,白灵菇,0.45
86,2024,E13,1,豇豆,0.6
87,2024,E14,1,刀豆,0.3
88,2024,E14,2,羊肚菌,0.3
89,2024,E15,1,豇豆,0.6
90,2024,E16,2,榆黄菇,0.3
91,2024,E16,2,羊肚菌,0.3
92,2024,F1,2,豇豆,0.13
93,2024,F1,2,茄子,0.47
94,2024,F2,2,豇豆,0.6
95,2024,F3,2,豇豆,0.13
96,2024,F3,2,黄瓜,0.47
97,2024,F4,2,豇豆,0.1
98,2024,F4,2,黄瓜,0.5
99,2025,A1,1,黄豆,80.0
100,2025,A2,1,黄豆,29.33
101,2025,A2,1,爬豆,23.8
102,2025,A2,1,玉米,1.88
103,2025,A3,1,黄豆,13.71
104,2025,A3,1,玉米,4.93
105,2025,A3,1,红薯,16.36
106,2025,A4,1,黄豆,67.38
107,2025,A4,1,玉米,0.06
108,2025,A4,1,南瓜,4.56
109,2025,A5,1,黄豆,0.0
110,2025,A5,1,玉米,68.0
111,2025,A6,1,黑豆,16.36
112,2025,A6,1,玉米,31.5
113,2025,A6,1,南瓜,7.14
114,2025,B1,1,红豆,1.05
115,2025,B1,1,小麦,58.95
116,2025,B2,1,绿豆,46.0
117,2025,B3,1,绿豆,15.06
118,2025,B3,1,小麦,24.94
119,2025,B4,1,小麦,28.0
120,2025,B5,1,绿豆,25.0
121,2025,B5,1,小麦,0.0
122,2025,B6,1,黄豆,28.97
123,2025,B6,1,谷子,57.03
124,2025,B7,1,小麦,30.0
125,2025,B7,1,谷子,25.0
126,2025,B8,1,黄豆,7.68
127,2025,B8,1,玉米,17.78
128,2025,B8,1,谷子,3.18
129,2025,B8,1,高粱,15.37
130,2025,B9,1,红豆,14.26
131,2025,B9,1,小麦,35.74
132,2025,B10,1,绿豆,14.06
133,2025,B10,1,小麦,10.94
134,2025,B11,1,黄豆,44.97
135,2025,B11,1,高粱,15.03
136,2025,B12,1,黑豆,28.78
137,2025,B12,1,小麦,16.22
138,2025,B13,1,玉米,10.0
139,2025,B13,1,谷子,25.0
140,2025,B14,1,小麦,20.0
141,2025,C1,1,红豆,10.06
142,2025,C1,1,高粱,4.94
143,2025,C2,1,红豆,13.0
144,2025,C3,1,高粱,15.0
145,2025,C4,1,红豆,18.0
146,2025,C5,1,高粱,0.68
147,2025,C5,1,黍子,26.32
148,2025,C6,1,红豆,5.0
149,2025,C6,1,荞麦,15.0
150,2025,D1,1,刀豆,9.9
151,2025,D1,1,黄瓜,1.09
152,2025,D2,1,刀豆,4.38
153,2025,D2,1,茄子,5.62
154,2025,D2,1,芹菜,0.0
155,2025,D3,1,刀豆,12.53
156,2025,D3,1,茄子,1.47
157,2025,D4,1,刀豆,0.65
158,2025,D4,1,包菜,0.73
159,2025,D5,1,刀豆,9.67
160,2025,D5,1,芹菜,0.33
161,2025,D6,1,刀豆,12.0
162,2025,D7,1,豇豆,10.72
163,2025,D7,1,刀豆,11.28
164,2025,D7,2,大白菜,0.0
165,2025,D8,1,刀豆,15.87
166,2025,E1,1,芸豆,0.6
167,2025,E2,1,刀豆,0.53
168,2025,E2,2,白灵菇,0.07
169,2025,E3,1,刀豆,0.6
170,2025,E4,1,刀豆,0.6
171,2025,E5,1,刀豆,0.6
172,2025,E6,1,刀豆,0.53
173,2025,E6,2,榆黄菇,0.07
174,2025,E7,1,刀豆,0.6
175,2025,E8,2,榆黄菇,0.6
176,2025,E9,1,豇豆,0.6
177,2025,E10,2,白灵菇,0.6
178,2025,E11,2,榆黄菇,0.23
179,2025,E11,2,白灵菇,0.38
180,2025,E12,1,刀豆,0.45
181,2025,E12,2,白灵菇,0.15
182,2025,E13,2,白灵菇,0.6
183,2025,E14,1,刀豆,0.3
184,2025,E14,2,榆黄菇,0.3
185,2025,E15,2,榆黄菇,0.6
186,2025,E16,1,芸豆,0.6
187,2025,F1,2,豇豆,0.47
188,2025,F1,2,黄瓜,0.13
189,2025,F2,2,黄瓜,0.6
190,2025,F3,2,豇豆,0.47
191,2025,F3,2,黄瓜,0.13
192,2025,F4,2,豇豆,0.5
193,2025,F4,2,黄瓜,0.1
194,2026,A1,1,小麦,53.26
195,2026,A1,1,玉米,26.74
196,2026,A2,1,黑豆,1.88
197,2026,A2,1,小麦,53.12
198,2026,A2,1,玉米,0.0
199,2026,A3,1,绿豆,10.74
200,2026,A3,1,小麦,13.69
201,2026,A3,1,玉米,10.57
202,2026,A4,1,黄豆,0.0
203,2026,A4,1,小麦,0.06
204,2026,A4,1,玉米,71.94
205,2026,A5,1,黄豆,1.77
206,2026,A5,1,小麦,66.23
207,2026,A6,1,绿豆,0.0
208,2026,A6,1,小麦,3.44
209,2026,A6,1,玉米,23.5
210,2026,A6,1,南瓜,11.7
211,2026,A6,1,红薯,16.36
212,2026,B1,1,红豆,58.95
213,2026,B1,1,谷子,1.05
214,2026,B2,1,谷子,0.0
215,2026,B2,1,高粱,5.06
216,2026,B2,1,莜麦,35.0
217,2026,B2,1,大麦,5.94
218,2026,B3,1,谷子,15.06
219,2026,B3,1,高粱,24.94
220,2026,B4,1,黄豆,28.0
221,2026,B5,1,小麦,25.0
222,2026,B5,1,谷子,0.0
223,2026,B6,1,黄豆,57.03
224,2026,B6,1,谷子,28.97
225,2026,B7,1,爬豆,25.0
226,2026,B7,1,谷子,30.0
227,2026,B8,1,黄豆,36.32
228,2026,B8,1,谷子,7.68
229,2026,B9,1,黄豆,0.81
230,2026,B9,1,谷子,49.19
231,2026,B10,1,黄豆,10.94
232,2026,B10,1,大麦,14.06
233,2026,B11,1,黄豆,15.03
234,2026,B11,1,黑豆,44.03
235,2026,B11,1,谷子,0.94
236,2026,B12,1,谷子,45.0
237,2026,B13,1,谷子,10.0
238,2026,B13,1,黍子,25.0
239,2026,B14,1,高粱,20.0
240,2026,C1,1,绿豆,14.96
241,2026,C1,1,荞麦,0.04
242,2026,C2,1,绿豆,13.0
243,2026,C3,1,绿豆,5.0
244,2026,C3,1,荞麦,10.0
245,2026,C4,1,绿豆,18.0
246,2026,C5,1,绿豆,27.0
247,2026,C6,1,绿豆,15.0
248,2026,C6,1,荞麦,4.96
249,2026,D1,1,豇豆,5.1
250,2026,D1,1,茄子,2.71
251,2026,D1,1,黄瓜,1.09
252,2026,D2,1,茄子,4.38
253,2026,D3,1,豇豆,1.47
254,2026,D3,1,菜花,0.73
255,2026,D3,1,芹菜,0.33
256,2026,D4,1,豇豆,3.43
257,2026,D4,1,芸豆,1.19
258,2026,D6,1,小青菜,4.62
259,2026,D8,1,包菜,0.73
260,2026,D8,1,油麦菜,1.1
261,2026,D8,1,小青菜,6.46
262,2026,E1,2,白灵菇,0.6
263,2026,E2,2,白灵菇,0.53
264,2026,E2,2,羊肚菌,0.07
265,2026,E3,2,羊肚菌,0.6
266,2026,E4,2,羊肚菌,0.6
267,2026,E5,2,榆黄菇,0.6
268,2026,E6,2,榆黄菇,0.53
269,2026,E6,2,羊肚菌,0.07
270,2026,E7,2,羊肚菌,0.6
271,2026,E8,1,豇豆,0.6
272,2026,E9,2,白灵菇,0.15
273,2026,E9,2,羊肚菌,0.45
274,2026,E10,1,豇豆,0.15
275,2026,E10,2,榆黄菇,0.45
276,2026,E11,1,豇豆,0.15
277,2026,E11,2,榆黄菇,0.23
278,2026,E11,2,白灵菇,0.23
279,2026,E12,2,羊肚菌,0.6
280,2026,E13,1,刀豆,0.39
281,2026,E13,1,芸豆,0.21
282,2026,E14,1,豇豆,0.3
283,2026,E14,2,白灵菇,0.3
284,2026,E15,2,羊肚菌,0.6
285,2026,E16,2,羊肚菌,0.6
286,2026,F1,2,茄子,0.13
287,2026,F1,2,黄瓜,0.47
288,2026,F2,2,豇豆,0.37
289,2026,F2,2,茄子,0.23
290,2026,F3,2,豇豆,0.13
291,2026,F3,2,茄子,0.47
292,2026,F4,2,茄子,0.1
293,2026,F4,2,黄瓜,0.5
294,2027,A1,1,绿豆,0.0
295,2027,A1,1,小麦,26.74
296,2027,A1,1,玉米,53.26
297,2027,A2,1,玉米,55.0
298,2027,A2,1,南瓜,0.0
299,2027,A3,1,绿豆,10.55
300,2027,A3,1,小麦,0.02
301,2027,A3,1,玉米,24.43
302,2027,A4,1,绿豆,4.62
303,2027,A4,1,小麦,55.62
304,2027,A4,1,玉米,0.06
305,2027,A4,1,南瓜,11.7
306,2027,A5,1,黄豆,39.18
307,2027,A5,1,绿豆,27.05
308,2027,A5,1,小麦,1.77
309,2027,A6,1,绿豆,38.64
310,2027,A6,1,红薯,16.36
311,2027,B1,1,小麦,60.0
312,2027,B2,1,谷子,46.0
313,2027,B3,1,黄豆,0.73
314,2027,B3,1,黑豆,24.21
315,2027,B3,1,高粱,15.06
316,2027,B4,1,小麦,28.0
317,2027,B5,1,小麦,0.0
318,2027,B5,1,高粱,25.0
319,2027,B6,1,黄豆,28.97
320,2027,B6,1,谷子,57.03
321,2027,B7,1,黄豆,24.06
322,2027,B7,1,红豆,5.94
323,2027,B7,1,谷子,25.0
324,2027,B8,1,高粱,9.0
325,2027,B8,1,莜麦,35.0
326,2027,B9,1,红豆,49.19
327,2027,B9,1,谷子,0.81
328,2027,B10,1,小麦,25.0
329,2027,B10,1,谷子,0.0
330,2027,B11,1,谷子,59.06
331,2027,B11,1,高粱,0.94
332,2027,B12,1,黑豆,21.79
333,2027,B12,1,小麦,23.21
334,2027,B13,1,黄豆,35.0
335,2027,B14,1,黄豆,20.0
336,2027,C1,1,红豆,4.03
337,2027,C1,1,绿豆,0.04
338,2027,C1,1,荞麦,10.93
339,2027,C2,1,绿豆,0.0
340,2027,C2,1,爬豆,13.0
341,2027,C3,1,绿豆,10.0
342,2027,C3,1,爬豆,0.7
343,2027,C3,1,荞麦,4.07
344,2027,C4,1,绿豆,0.0
345,2027,C4,1,爬豆,12.63
346,2027,C4,1,黍子,5.37
347,2027,C5,1,黍子,5.95
348,2027,C5,1,大麦,21.05
349,2027,C6,1,绿豆,5.0
350,2027,C6,1,黍子,15.0
351,2027,D1,1,芸豆,0.0
352,2027,D1,1,黄瓜,1.09
353,2027,D2,1,豇豆,5.62
354,2027,D3,1,茄子,7.09
355,2027,D3,1,菜花,0.73
356,2027,D3,1,油麦菜,1.1
357,2027,D4,1,豇豆,0.73
358,2027,D5,1,豇豆,0.33
359,2027,D6,1,小青菜,7.38
360,2027,D7,1,豇豆,0.0
361,2027,D7,1,小青菜,3.71
362,2027,D7,2,大白菜,0.0
363,2027,D8,1,豇豆,4.13
364,2027,D8,1,包菜,0.73
365,2027,D8,1,芹菜,0.33
366,2027,E1,2,羊肚菌,0.6
367,2027,E2,1,豇豆,0.07
368,2027,E2,2,白灵菇,0.07
369,2027,E2,2,羊肚菌,0.45
370,2027,E3,2,榆黄菇,0.6
371,2027,E4,2,白灵菇,0.6
372,2027,E5,2,羊肚菌,0.6
373,2027,E6,1,刀豆,0.07
374,2027,E6,2,羊肚菌,0.53
375,2027,E7,2,榆黄菇,0.6
376,2027,E8,2,白灵菇,0.07
377,2027,E8,2,羊肚菌,0.53
378,2027,E9,2,榆黄菇,0.45
379,2027,E9,2,羊肚菌,0.15
380,2027,E10,1,豇豆,0.45
381,2027,E10,2,榆黄菇,0.15
382,2027,E11,1,芸豆,0.45
383,2027,E11,2,羊肚菌,0.15
384,2027,E12,1,芸豆,0.15
385,2027,E12,2,白灵菇,0.45
386,2027,E13,2,羊肚菌,0.6
387,2027,E14,2,羊肚菌,0.6
388,2027,E15,1,芸豆,0.6
389,2027,E16,2,白灵菇,0.6
390,2027,F1,2,豇豆,0.13
391,2027,F1,2,茄子,0.33
392,2027,F1,2,黄瓜,0.13
393,2027,F2,2,豇豆,0.23
394,2027,F2,2,茄子,0.23
395,2027,F2,2,黄瓜,0.13
396,2027,F3,2,黄瓜,0.6
397,2027,F4,2,豇豆,0.1
398,2027,F4,2,茄子,0.4
399,2027,F4,2,黄瓜,0.1
400,2028,A1,1,小麦,53.26
401,2028,A1,1,玉米,26.74
402,2028,A2,1,小麦,55.0
403,2028,A2,1,玉米,0.0
404,2028,A3,1,小麦,34.98
405,2028,A3,1,玉米,0.02
406,2028,A4,1,绿豆,5.92
407,2028,A4,1,小麦,16.38
408,2028,A4,1,玉米,37.99
409,2028,A4,1,南瓜,11.7
410,2028,A5,1,玉米,68.0
411,2028,A6,1,小麦,38.64
412,2028,A6,1,红薯,16.36
413,2028,B1,1,黄豆,60.0
414,2028,B2,1,黄豆,0.0
415,2028,B2,1,红豆,21.0
416,2028,B2,1,爬豆,25.0
417,2028,B3,1,黑豆,1.58
418,2028,B3,1,小麦,4.42
419,2028,B3,1,谷子,9.06
420,2028,B3,1,高粱,24.94
421,2028,B4,1,黄豆,28.0
422,2028,B5,1,谷子,25.0
423,2028,B5,1,黍子,0.0
424,2028,B6,1,黑豆,44.42
425,2028,B6,1,谷子,28.97
426,2028,B6,1,莜麦,12.61
427,2028,B7,1,黄豆,30.94
428,2028,B7,1,红豆,12.39
429,2028,B7,1,小麦,11.68
430,2028,B8,1,谷子,44.0
431,2028,B9,1,黄豆,31.06
432,2028,B9,1,绿豆,5.11
433,2028,B9,1,谷子,13.83
434,2028,B10,1,谷子,0.0
435,2028,B10,1,黍子,25.0
436,2028,B11,1,高粱,25.06
437,2028,B11,1,莜麦,14.98
438,2028,B11,1,大麦,19.96
439,2028,B12,1,红豆,25.56
440,2028,B12,1,谷子,12.03
