,年份,地块名,季节,作物名,种植面积
0,2024,A1,1,黄豆,80.0
1,2024,A2,1,小麦,55.0
2,2024,A3,1,小麦,35.0
3,2024,A4,1,黄豆,24.5
4,2024,A4,1,高粱,47.5
5,2024,A5,1,谷子,60.7
6,2024,A5,1,南瓜,7.3
7,2024,A6,1,黄豆,9.1
8,2024,A6,1,谷子,45.9
9,2024,B1,1,黄豆,51.4
10,2024,B1,1,黍子,8.6
11,2024,B2,1,红豆,14.9
12,2024,B2,1,谷子,31.1
13,2024,B3,1,黄豆,16.4
14,2024,B3,1,玉米,23.6
15,2024,B4,1,黑豆,16.6
16,2024,B4,1,小麦,11.4
17,2024,B5,1,玉米,10.7
18,2024,B5,1,荞麦,14.3
19,2024,B6,1,黑豆,29.4
20,2024,B6,1,玉米,56.6
21,2024,B7,1,小麦,55.0
22,2024,B8,1,红豆,44.0
23,2024,B9,1,玉米,33.6
24,2024,B9,1,黍子,16.4
25,2024,B10,1,小麦,25.0
26,2024,B11,1,爬豆,25.0
27,2024,B11,1,小麦,17.9
28,2024,B11,1,红薯,17.1
29,2024,B12,1,绿豆,45.0
30,2024,B13,1,绿豆,35.0
31,2024,B14,1,黄豆,17.9
32,2024,B14,1,玉米,2.1
33,2024,C1,1,绿豆,14.6
34,2024,C1,1,谷子,0.4
35,2024,C2,1,黄豆,13.0
36,2024,C3,1,玉米,10.1
37,2024,C3,1,南瓜,4.9
38,2024,C4,1,黄豆,18.0
39,2024,C5,1,黄豆,20.4
40,2024,C5,1,绿豆,6.5
41,2024,C5,1,高粱,0.1
42,2024,C6,1,黄豆,16.3
43,2024,C6,1,玉米,3.7
44,2024,D1,1,豇豆,8.9
45,2024,D1,1,刀豆,2.5
46,2024,D1,1,西红柿,3.6
47,2024,D2,1,豇豆,2.6
48,2024,D2,1,茄子,7.1
49,2024,D2,1,芹菜,0.3
50,2024,D3,1,芸豆,1.4
51,2024,D3,1,菜花,0.7
52,2024,D3,2,大白菜,11.8
53,2024,D4,1,刀豆,0.8
54,2024,D4,1,西红柿,5.2
55,2024,D5,1,刀豆,10.0
56,2024,D6,1,刀豆,10.9
57,2024,D6,1,黄瓜,1.1
58,2024,D7,1,刀豆,2.3
59,2024,D7,1,西红柿,6.3
60,2024,D7,1,青椒,1.1
61,2024,D7,1,包菜,0.7
62,2024,D7,1,油麦菜,1.1
63,2024,D7,1,辣椒,0.8
64,2024,D7,2,白萝卜,9.8
65,2024,D8,1,刀豆,8.9
66,2024,D8,1,小青菜,11.1
67,2024,E1,1,刀豆,0.6
68,2024,E2,1,刀豆,0.6
69,2024,E3,2,榆黄菇,0.6
70,2024,E4,2,羊肚菌,0.6
71,2024,E5,2,羊肚菌,0.6
72,2024,E6,2,羊肚菌,0.6
73,2024,E7,2,榆黄菇,0.6
74,2024,E8,1,刀豆,0.6
75,2024,E9,1,刀豆,0.6
